Trial,Condition,Onset,Duration,ISI,
1,2,0,10,7.082,
2,3,17.082,10,9.398,
3,2,36.4799,10,4.1157,
4,1,50.5956,10,7.6845,
5,3,68.2801,10,7.0512,
6,1,85.3313,10,9.406,
7,2,104.7373,10,5.8875,
8,1,120.6248,10,7.4349,
9,2,138.0597,10,7.2258,
10,1,155.2856,10,8.9196,
11,2,174.2052,10,5.2478,
12,3,189.453,10,9.0606,
13,3,208.5136,10,5.0726,
14,1,223.5862,10,4.5812,
15,2,238.1674,10,7.2258,
16,1,255.3933,10,7.066,
17,2,272.4593,10,4.5086,
18,1,286.9679,10,6.4599,
19,3,303.4279,10,5.2853,
20,1,318.7132,10,6.1641,
21,2,334.8772,10,6.0528,
22,1,350.93,10,4.5599,
23,2,365.4899,10,9.3797,
24,3,384.8696,10,4.7063,
25,1,399.576,10,8.1276,
26,2,417.7036,10,5.4618,
27,1,433.1654,10,8.9932,
28,3,452.1586,10,9.1222,
29,3,471.2808,10,9.4832,
30,1,490.7639,10,7.1377,
31,3,507.9016,10,6.2512,
32,2,524.1528,10,5.0848,
33,1,539.2376,10,4.6428,
34,2,553.8804,10,4.1471,
35,3,568.0275,10,9.8735,
36,3,587.901,10,8.9932,
37,3,606.8942,10,5.3605,
38,1,622.2547,10,5.7276,
39,2,637.9822,10,7.1202,
40,3,655.1024,10,9.4675,
41,1,674.5699,10,5.0243,
42,3,689.5942,10,9.6207,
43,1,709.2148,10,5.7442,
44,2,724.959,10,9.4675,
45,3,744.4265,10,7.1428,
46,1,761.5694,10,4.1366,
47,2,775.7059,10,8.2307,
48,3,793.9366,10,6.1967,
49,3,810.1334,10,6.2983,
50,2,826.4317,10,4.4268,
51,1,840.8585,10,6.2055,
52,3,857.064,10,9.2424,
53,1,876.3064,10,5.3502,
54,2,891.6567,10,9.8675,
55,3,911.5241,10,7.4056,
56,1,928.9297,10,5.8981,
57,3,944.8279,10,5.7276,
58,2,960.5554,10,9.2233,
59,3,979.7788,10,8.351,
60,2,998.1297,10,5.4618,
61,1,1013.5916,10,7.1582,
62,2,1030.7497,10,6.622,
63,3,1047.3717,10,5.8095,
64,2,1063.1812,10,4.1471,
65,1,1077.3283,10,9.9416,
66,2,1097.27,10,4.3826,
67,3,1111.6526,10,8.21,
68,2,1129.8625,10,7.401,
69,1,1147.2635,10,7.8116,
70,3,1165.0751,10,8.4521,
71,1,1183.5272,10,5.6357,
72,2,1199.1629,10,0,
